name;city;adress;longitude;latitude;
33 Krany Craftb33r Pub;Białystok;Legionowa 14/16;53.130278;23.158611;
Browar Stary Rynek;Białystok;Rynek Kościuszki 11;53.131944;23.158889;
Środek;Bielsko-Biała;1 Maja 1;49.8210589;19.0454933;
Kraftodajnia;Bydgoszcz;Plac Kościeleckich 5/i;53.1208417;18.0048762;
PRL Rocks;Bydgoszcz;Stary Rynek 5;53.1223284;18.0004388;
Prolog9;Bydgoszcz;Długa 18;53.12108292435098;17.997962697510108;
Zelter;Bytom;Strażacka 3A;50.3484025;18.9233767979925;
RBL;Chorzów;Jana III Sobieskiego 8;50.294573;18.9513169;
Reden;Chorzów;Jana III Sobieskiego 17;50.2942146;18.9531137;
Cafe Belg;Częstochowa;Aleja Najświętszej Maryi Panny 32;50.8123596;19.1163854;
Multitap Piwiarnia Częstochowa;Częstochowa;Aleja Najświętszej Maryi Panny 31;50.8117443;19.116792;
PPR - Piwiarnia Piw Regionalnych;Częstochowa;Augustyna Kordeckiego 10;50.8106506;19.0948416126235;
Wielokran Absztyfikant;Elbląg;Rzeźnicka 10-11c;54.1584987;19.3967336;
Brovarnia ;Gdańsk;Szafarnia 9;54.34917;18.6604752;
Bruderschaft;Gdańsk;Długa 81;54.3496496;18.648543;
Cafe Lamus & Lawendowa;Gdańsk;Lawendowa 8;54.352784;18.6530013;
Cathead;Gdańsk;Powróźnicza 19/20;54.3475513;18.6551995;
Degustatornia;Gdańsk;Grodzka 16;54.3541072;18.659589;
Graciarnia;Gdańsk;Dmowskiego 15;54.3795056;18.6071038;
Lebeerynt;Gdańsk;Szeroka 97;54.3512131;18.6545028;
Loft;Gdańsk;Młyńska 15;54.3533316;18.6496802;
Maverick;Gdańsk;Partyzantów 8;54.37696055;18.60530996607;
Polufka;Gdańsk;Konrada Leczkowa 18;54.379022;18.618788;
Pub Browar Spółdzielczy;Gdańsk;aleja Grunwaldzka 190;54.3854404;18.5927249;
Pułapka;Gdańsk;Straganiarska 2;54.3525997;18.6531069;
Z Innej Beczki ;Gdańsk;Wajdeloty 10/1;54.3817593;18.6104776;
AleBrowar Gdynia;Gdynia;Starowiejska 40B;54.5212768;18.535794;
Beczka Chmielu;Gdynia;Antoniego Hryniewickiego 6/12;54.5222502;18.5479423;
Kandelabry;Gdynia;Aleja Topolowa;54.51797564198797;18.548052271329716;
Morze Piwa;Gdynia;skwer Kościuszki 13;54.5187408;18.5438408;
IBU Craft Beers;Gliwice;Jana Matejki 3;50.2939218;18.6668672;
Stary Kufel;Gliwice;Średnia 1;50.2937997;18.6636414;
Dobry Zbeer;Gliwice;Zygmunta Starego 11A;50.29223685;18.6611034429128;
Piana;Kalisz;Zamkowa 9;51.76338445;18.0908857498054;
